sexe;formation;usage_vehicule;type_vehicule;type_conduite;formule;date_demande;points_perdus;Age du vehicule;id_client;Tranche d'âge;Enfants;conduite accompagnee;vehicule rouge;tranche revenus;tranche tarifs_devis;code postal
F;Masters;Private;z_SUV;Highly Urban/ Urban;dev_premium;12/02/2022;0;17;6599192;18-29 ans;non;non;non;100000-109999;340-360;23100
F;z_High School;Private;z_SUV;Highly Urban/ Urban;dev_express;14/01/2022;0;1;2031939;50-59 ans;oui;non;non;30000-39999;240-260;60500
M;<High School;Commercial;Minivan;z_Highly Rural/ Rural;dev_integral;09/04/2022;6;5;8180873;40-49 ans;oui;non;oui;20000-29999;320-340;58200
F;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_express;23/03/2022;3;9;9387108;60-69 ans;non;non;non;110000-119999;240-260;70130
M;<High School;Private;z_SUV;z_Highly Rural/ Rural;dev_premium;04/02/2022;2;6;7007125;Moins de 18 ans;non;non;non;30000-39999;400-420;49610
M;Masters;Private;Sports Car;Highly Urban/ Urban;dev_express;05/02/2022;0;12;4597131;40-49 ans;oui;oui;non;70000-79999;260-280;02240
F;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_integral;08/02/2022;0;9;7449736;70-79 ans;non;non;non;20000-29999;300-320;74290
F;Bachelors;Commercial;Sports Car;Highly Urban/ Urban;dev_express;06/02/2022;0;15;7245524;60-69 ans;non;non;non;30000-39999;260-280;74500
F;Masters;Private;z_SUV;Highly Urban/ Urban;dev_integral;09/02/2022;2;14;2923915;Moins de 18 ans;oui;non;non;90000-99999;280-300;93240
F;Masters;Private;Minivan;Highly Urban/ Urban;dev_integral;26/05/2022;0;15;8995710;50-59 ans;non;non;non;150000-159999;280-300;25400
M;z_High School;Private;z_SUV;z_Highly Rural/ Rural;dev_premium;04/03/2022;1;11;5380695;30-39 ans;non;non;non;50000-59999;400-420;88260
F;Bachelors;Private;Sports Car;Highly Urban/ Urban;dev_express;31/05/2022;0;10;4628199;18-29 ans;oui;oui;non;inconnu;260-280;95490
F;<High School;Private;z_SUV;Highly Urban/ Urban;dev_express;30/04/2022;5;8;6204740;80 et plus;oui;non;non;0-9999;240-260;83370
M;Bachelors;Commercial;Pickup;Highly Urban/ Urban;dev_express;20/03/2022;0;10;9585552;60-69 ans;oui;non;oui;0-9999;260-280;10000
F;z_High School;Private;Pickup;Highly Urban/ Urban;dev_premium;02/04/2022;0;;5461407;60-69 ans;oui;oui;oui;50000-59999;400-420;58180
M;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_integral;02/01/2022;0;13;6590724;50-59 ans;non;non;non;70000-79999;320-340;90300
F;Masters;Private;z_SUV;Highly Urban/ Urban;dev_express;24/02/2022;4;15;8117242;60-69 ans;non;non;non;90000-99999;260-280;23000
M;<High School;Private;z_SUV;Highly Urban/ Urban;dev_express;05/04/2022;1;1;5916172;70-79 ans;oui;non;non;inconnu;260-280;92140
F;Masters;Commercial;Panel Truck;Highly Urban/ Urban;dev_integral;21/02/2022;1;13;3181084;40-49 ans;non;non;oui;140000-149999;300-320;25400
M;Bachelors;Commercial;Van;Highly Urban/ Urban;dev_integral;21/03/2022;0;7;1324058;70-79 ans;non;non;oui;80000-89999;280-300;27400
F;<High School;Private;Van;z_Highly Rural/ Rural;dev_integral;03/04/2022;1;1;1126229;40-49 ans;oui;oui;oui;50000-59999;280-300;56600
F;<High School;Commercial;Pickup;Highly Urban/ Urban;dev_integral;28/03/2022;7;1;9067333;18-29 ans;non;non;oui;20000-29999;300-320;53000
F;<High School;Private;Minivan;Highly Urban/ Urban;dev_express;21/03/2022;1;5;5517407;50-59 ans;oui;non;non;40000-49999;260-280;49280
M;Bachelors;Private;Minivan;Highly Urban/ Urban;dev_express;23/05/2022;0;7;9958515;18-29 ans;non;non;non;100000-109999;280-300;66000
F;Masters;Private;Sports Car;Highly Urban/ Urban;dev_express;03/05/2022;0;19;5109845;40-49 ans;non;non;non;50000-59999;260-280;11170
F;Bachelors;Commercial;Minivan;z_Highly Rural/ Rural;dev_express;11/04/2022;5;8;4352614;Moins de 18 ans;non;non;non;70000-79999;260-280;61110
M;PhD;Private;Van;Highly Urban/ Urban;dev_premium;05/01/2022;0;13;7480896;50-59 ans;non;non;non;70000-79999;360-380;07100
F;Masters;Commercial;Van;Highly Urban/ Urban;dev_integral;14/05/2022;4;9;4471829;50-59 ans;oui;non;oui;40000-49999;280-300;42410
M;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_express;20/04/2022;2;12;3781853;30-39 ans;non;non;non;60000-69999;240-260;75002
F;z_High School;Private;Van;Highly Urban/ Urban;dev_express;22/01/2022;0;1;1475468;70-79 ans;oui;oui;oui;30000-39999;260-280;42170
F;z_High School;Private;Sports Car;Highly Urban/ Urban;dev_express;26/04/2022;1;7;9188368;30-39 ans;oui;oui;non;30000-39999;240-260;81270
F;Masters;Private;Minivan;Highly Urban/ Urban;dev_integral;23/03/2022;0;16;8904274;70-79 ans;non;non;non;80000-89999;280-300;54460
F;Bachelors;Private;Pickup;Highly Urban/ Urban;dev_express;27/04/2022;0;8;4469434;50-59 ans;non;non;non;40000-49999;240-260;62470
F;Bachelors;Commercial;Van;Highly Urban/ Urban;dev_integral;24/05/2022;0;5;2886772;70-79 ans;oui;non;non;60000-69999;280-300;63800
F;<High School;Private;Sports Car;Highly Urban/ Urban;dev_express;09/05/2022;0;1;4749878;80 et plus;oui;non;non;20000-29999;240-260;46110
F;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_integral;22/04/2022;0;6;7721448;Moins de 18 ans;non;non;non;10000-19999;280-300;50110
M;z_High School;Private;z_SUV;Highly Urban/ Urban;dev_express;17/05/2022;5;1;2575747;50-59 ans;non;non;non;60000-69999;240-260;33270
M;Bachelors;Private;Pickup;Highly Urban/ Urban;dev_express;01/05/2022;0;7;2337296;70-79 ans;non;non;non;80000-89999;260-280;56160
M;<High School;Private;Minivan;z_Highly Rural/ Rural;dev_express;29/05/2022;3;5;1671953;50-59 ans;non;non;non;0-9999;240-260;93500
M;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_express;04/04/2022;2;13;8267728;70-79 ans;oui;non;oui;20000-29999;240-260;23000
F;Bachelors;Commercial;Pickup;Highly Urban/ Urban;dev_integral;27/01/2022;1;3;1471841;18-29 ans;non;non;non;80000-89999;300-320;58640
F;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_integral;13/01/2022;0;9;3748113;Moins de 18 ans;non;non;non;70000-79999;300-320;43120
M;PhD;Private;z_SUV;Highly Urban/ Urban;dev_express;08/01/2022;2;12;5033142;30-39 ans;non;non;non;190000-199999;260-280;82000
M;Bachelors;Private;Minivan;Highly Urban/ Urban;dev_integral;05/04/2022;2;9;6527583;Moins de 18 ans;non;non;oui;90000-99999;280-300;56300
F;z_High School;Private;Minivan;z_Highly Rural/ Rural;dev_premium;14/02/2022;2;9;6331258;80 et plus;oui;non;non;70000-79999;480-500;17590
M;Bachelors;Private;Pickup;Highly Urban/ Urban;dev_express;14/01/2022;0;8;6583903;80 et plus;non;non;non;40000-49999;240-260;39220
F;Masters;Private;z_SUV;Highly Urban/ Urban;dev_integral;20/04/2022;1;18;5231342;30-39 ans;non;non;non;110000-119999;300-320;20290
F;z_High School;Commercial;Minivan;Highly Urban/ Urban;dev_express;10/05/2022;5;1;7215348;70-79 ans;non;non;non;70000-79999;260-280;01000
M;Bachelors;Commercial;Panel Truck;Highly Urban/ Urban;dev_premium;24/01/2022;4;11;1559676;50-59 ans;non;non;non;40000-49999;380-400;47240
F;<High School;Private;Minivan;Highly Urban/ Urban;dev_express;01/02/2022;4;6;6205469;50-59 ans;non;non;non;40000-49999;240-260;31130
M;z_High School;Private;Minivan;Highly Urban/ Urban;dev_premium;20/04/2022;1;1;3560525;60-69 ans;non;non;oui;110000-119999;360-380;48200
M;z_High School;Private;Sports Car;z_Highly Rural/ Rural;dev_express;02/01/2022;0;3;6042048;80 et plus;non;non;non;0-9999;260-280;90300
M;z_High School;Commercial;Van;z_Highly Rural/ Rural;dev_express;18/02/2022;0;8;5854052;60-69 ans;non;non;oui;100000-109999;260-280;04180
F;Bachelors;Commercial;z_SUV;Highly Urban/ Urban;dev_express;27/04/2022;0;4;5559802;60-69 ans;oui;non;non;30000-39999;240-260;01440
M;<High School;Private;Sports Car;z_Highly Rural/ Rural;dev_express;09/05/2022;1;;6376052;60-69 ans;non;non;non;10000-19999;240-260;31770
M;z_High School;Commercial;Pickup;Highly Urban/ Urban;dev_express;14/01/2022;2;8;2112065;60-69 ans;non;non;oui;50000-59999;280-300;61250
M;z_High School;Private;Minivan;Highly Urban/ Urban;dev_express;30/03/2022;0;9;8432638;40-49 ans;non;non;oui;40000-49999;260-280;58260
M;Masters;Private;Minivan;Highly Urban/ Urban;dev_premium;25/01/2022;0;17;6520579;50-59 ans;non;non;non;inconnu;460-480;09000
F;z_High School;Private;z_SUV;z_Highly Rural/ Rural;dev_express;28/05/2022;0;1;6619956;18-29 ans;oui;oui;non;20000-29999;240-260;48000
M;Masters;Private;Minivan;Highly Urban/ Urban;dev_premium;12/02/2022;0;13;3362583;50-59 ans;non;non;non;40000-49999;540-560;42390
M;Masters;Private;Sports Car;z_Highly Rural/ Rural;dev_integral;11/01/2022;0;2;8127189;50-59 ans;oui;non;non;40000-49999;280-300;41400
M;z_High School;Commercial;Minivan;Highly Urban/ Urban;dev_express;15/04/2022;3;1;9800389;80 et plus;non;non;non;50000-59999;260-280;67600
F;<High School;Private;Minivan;Highly Urban/ Urban;dev_premium;28/03/2022;1;1;4087502;Moins de 18 ans;oui;non;non;20000-29999;360-380;80480
F;z_High School;Private;Sports Car;Highly Urban/ Urban;dev_premium;26/02/2022;6;1;3821153;Moins de 18 ans;non;non;non;80000-89999;460-480;04300
M;z_High School;Private;Van;Highly Urban/ Urban;dev_express;17/01/2022;0;1;2135703;60-69 ans;non;non;oui;50000-59999;260-280;55310
F;Bachelors;Private;Pickup;Highly Urban/ Urban;dev_integral;16/04/2022;4;11;7359066;70-79 ans;non;non;non;60000-69999;280-300;84110
F;z_High School;Commercial;Pickup;z_Highly Rural/ Rural;dev_integral;12/01/2022;1;5;8291915;50-59 ans;non;non;oui;30000-39999;300-320;74500
M;z_High School;Private;Minivan;Highly Urban/ Urban;dev_express;23/03/2022;7;1;6437452;60-69 ans;non;non;non;30000-39999;260-280;45000
F;<High School;Private;Minivan;Highly Urban/ Urban;dev_integral;17/04/2022;0;6;6168724;30-39 ans;oui;oui;oui;50000-59999;280-300;40000
M;PhD;Private;Van;Highly Urban/ Urban;dev_integral;05/05/2022;1;8;6504186;40-49 ans;oui;non;oui;60000-69999;320-340;12630
M;z_High School;Commercial;z_SUV;Highly Urban/ Urban;dev_integral;28/02/2022;0;1;1243635;18-29 ans;non;non;non;60000-69999;320-340;49125
M;Masters;Commercial;Pickup;Highly Urban/ Urban;dev_integral;12/02/2022;2;12;8484897;60-69 ans;oui;non;non;10000-19999;300-320;64130
F;z_High School;Private;Minivan;Highly Urban/ Urban;dev_integral;07/01/2022;0;1;9001617;18-29 ans;oui;non;non;50000-59999;300-320;01090
M;Bachelors;Private;Minivan;Highly Urban/ Urban;dev_integral;07/01/2022;6;11;1374546;50-59 ans;non;non;non;120000-129999;300-320;19100
M;Masters;Commercial;Panel Truck;Highly Urban/ Urban;dev_express;12/01/2022;4;17;3527517;Moins de 18 ans;non;non;oui;210000-219999;280-300;12000
M;Bachelors;Private;Minivan;Highly Urban/ Urban;dev_premium;24/05/2022;1;12;8584598;60-69 ans;non;non;oui;70000-79999;440-460;05330
M;PhD;Commercial;Panel Truck;Highly Urban/ Urban;dev_integral;25/03/2022;0;14;3455829;18-29 ans;oui;non;oui;inconnu;280-300;86280
F;<High School;Private;Minivan;Highly Urban/ Urban;dev_integral;02/01/2022;0;5;6873087;70-79 ans;oui;oui;non;10000-19999;320-340;37130
M;Bachelors;Commercial;Minivan;z_Highly Rural/ Rural;dev_integral;01/03/2022;1;12;1786570;40-49 ans;oui;non;oui;60000-69999;300-320;28140
F;Bachelors;Private;Minivan;Highly Urban/ Urban;dev_express;28/01/2022;5;11;1988998;50-59 ans;oui;non;oui;130000-139999;260-280;48220
M;z_High School;Private;z_SUV;Highly Urban/ Urban;dev_premium;29/04/2022;0;9;1474426;80 et plus;non;non;non;10000-19999;360-380;29820
M;Bachelors;Commercial;z_SUV;Highly Urban/ Urban;dev_integral;20/01/2022;0;9;3855501;50-59 ans;non;non;non;70000-79999;280-300;31120
M;Bachelors;Commercial;Minivan;Highly Urban/ Urban;dev_express;06/05/2022;0;12;6654468;50-59 ans;oui;oui;non;100000-109999;240-260;13140
M;z_High School;Private;z_SUV;Highly Urban/ Urban;dev_express;14/03/2022;0;8;9014061;70-79 ans;oui;non;non;0-9999;260-280;45380
F;z_High School;Commercial;Minivan;Highly Urban/ Urban;dev_express;20/03/2022;2;6;7867902;60-69 ans;oui;non;non;40000-49999;280-300;70800
F;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_premium;18/01/2022;0;14;5238471;50-59 ans;non;non;non;90000-99999;340-360;41290
F;<High School;Private;Minivan;z_Highly Rural/ Rural;dev_premium;23/01/2022;0;1;1056771;50-59 ans;oui;oui;non;20000-29999;480-500;84740
F;Bachelors;Private;Sports Car;z_Highly Rural/ Rural;dev_express;07/01/2022;0;11;9904613;80 et plus;oui;oui;non;40000-49999;260-280;20290
F;z_High School;Private;Pickup;Highly Urban/ Urban;dev_integral;02/01/2022;0;7;8336785;60-69 ans;oui;oui;non;10000-19999;300-320;30190
M;z_High School;Commercial;Sports Car;Highly Urban/ Urban;dev_integral;23/05/2022;2;1;5934002;Moins de 18 ans;oui;oui;non;50000-59999;320-340;74150
M;Masters;Private;Minivan;Highly Urban/ Urban;dev_integral;29/05/2022;0;15;5691222;Moins de 18 ans;non;non;non;70000-79999;300-320;04220
M;PhD;Private;z_SUV;z_Highly Rural/ Rural;dev_integral;09/02/2022;0;13;1566141;70-79 ans;non;non;non;inconnu;300-320;93700
M;Masters;Private;Minivan;Highly Urban/ Urban;dev_express;17/02/2022;2;11;4467217;50-59 ans;oui;non;oui;90000-99999;260-280;28300
M;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_integral;06/05/2022;0;12;7475656;70-79 ans;non;non;non;100000-109999;320-340;88110
F;Bachelors;Private;Pickup;Highly Urban/ Urban;dev_integral;25/01/2022;0;11;3306323;50-59 ans;non;non;oui;60000-69999;320-340;01800
F;Masters;Private;Van;Highly Urban/ Urban;dev_integral;01/01/2022;4;9;3905099;30-39 ans;oui;non;non;20000-29999;320-340;42400
M;Bachelors;Private;Minivan;Highly Urban/ Urban;dev_integral;02/04/2022;0;8;6415449;30-39 ans;non;non;non;90000-99999;280-300;04000
M;z_High School;Private;Minivan;Highly Urban/ Urban;dev_integral;14/04/2022;2;1;4494739;70-79 ans;non;non;non;100000-109999;280-300;81100
M;z_High School;Commercial;Minivan;z_Highly Rural/ Rural;dev_express;07/03/2022;7;1;2206629;18-29 ans;non;non;oui;inconnu;260-280;75015
M;Bachelors;Commercial;Sports Car;Highly Urban/ Urban;dev_premium;04/04/2022;1;;3823861;18-29 ans;non;non;non;50000-59999;500-520;66220
M;PhD;Private;Minivan;Highly Urban/ Urban;dev_express;20/04/2022;1;13;6920805;60-69 ans;non;non;non;130000-139999;240-260;12800
F;Bachelors;Private;Sports Car;Highly Urban/ Urban;dev_express;25/02/2022;0;13;4727498;70-79 ans;oui;non;non;inconnu;260-280;61110
F;z_High School;Private;Minivan;Highly Urban/ Urban;dev_vip;28/05/2022;8;9;6239191;70-79 ans;oui;non;non;30000-39999;620-640;21800
M;<High School;Private;z_SUV;z_Highly Rural/ Rural;dev_express;18/03/2022;0;1;7738135;Moins de 18 ans;oui;non;non;0-9999;240-260;88300
M;z_High School;Private;Minivan;Highly Urban/ Urban;dev_express;25/02/2022;3;5;1474005;50-59 ans;non;non;oui;20000-29999;240-260;17600
F;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_integral;08/04/2022;0;9;3764853;Moins de 18 ans;oui;oui;non;40000-49999;280-300;74250
F;Masters;Private;Minivan;Highly Urban/ Urban;dev_integral;01/05/2022;0;16;9230307;80 et plus;oui;non;non;90000-99999;300-320;48200
M;Masters;Commercial;Van;Highly Urban/ Urban;dev_integral;27/03/2022;2;15;8120986;Moins de 18 ans;non;non;oui;40000-49999;320-340;10600
M;Masters;Commercial;Van;Highly Urban/ Urban;dev_express;11/05/2022;4;9;2878817;30-39 ans;oui;oui;non;120000-129999;260-280;47300
M;z_High School;Commercial;z_SUV;Highly Urban/ Urban;dev_express;31/05/2022;4;1;2277336;50-59 ans;oui;non;non;40000-49999;260-280;52100
F;z_High School;Private;Sports Car;Highly Urban/ Urban;dev_premium;24/04/2022;6;7;3428564;40-49 ans;oui;non;non;inconnu;500-520;72170
M;z_High School;Commercial;Sports Car;Highly Urban/ Urban;dev_integral;06/03/2022;2;9;4307112;50-59 ans;non;non;non;80000-89999;300-320;44420
F;Masters;Private;Minivan;Highly Urban/ Urban;dev_integral;18/02/2022;0;9;6404453;50-59 ans;non;non;non;110000-119999;280-300;79000
F;Bachelors;Private;Pickup;Highly Urban/ Urban;dev_integral;05/01/2022;0;12;3679774;Moins de 18 ans;oui;non;oui;140000-149999;320-340;10120
M;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_premium;19/02/2022;5;15;7317251;80 et plus;non;non;non;40000-49999;540-560;11120
M;z_High School;Commercial;z_SUV;Highly Urban/ Urban;dev_express;21/05/2022;7;;4832865;80 et plus;oui;non;non;inconnu;260-280;46000
M;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_express;13/05/2022;2;11;8106420;50-59 ans;non;non;non;20000-29999;260-280;78800
M;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_integral;20/02/2022;0;7;9790951;60-69 ans;non;non;non;80000-89999;320-340;74930
M;z_High School;Private;z_SUV;z_Highly Rural/ Rural;dev_integral;16/04/2022;1;10;7436898;40-49 ans;oui;oui;non;20000-29999;280-300;25000
F;Masters;Private;z_SUV;Highly Urban/ Urban;dev_integral;03/03/2022;0;19;4377112;70-79 ans;non;non;non;90000-99999;280-300;23600
F;Masters;Private;Minivan;z_Highly Rural/ Rural;dev_express;26/02/2022;0;15;7618116;70-79 ans;non;non;non;90000-99999;260-280;71400
M;z_High School;Private;Minivan;Highly Urban/ Urban;dev_integral;19/02/2022;0;10;5688965;70-79 ans;non;non;non;40000-49999;320-340;42300
F;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_express;05/03/2022;2;5;2837236;60-69 ans;non;non;non;60000-69999;260-280;46100
F;PhD;Private;Minivan;Highly Urban/ Urban;dev_express;11/01/2022;3;1;6224828;60-69 ans;oui;non;oui;inconnu;240-260;35590
M;<High School;Private;Minivan;Highly Urban/ Urban;dev_express;25/03/2022;1;4;4015375;30-39 ans;non;non;non;30000-39999;240-260;80400
F;z_High School;Commercial;Pickup;z_Highly Rural/ Rural;dev_integral;22/02/2022;0;9;2912127;70-79 ans;oui;non;oui;30000-39999;280-300;91100
M;PhD;Commercial;Van;Highly Urban/ Urban;dev_integral;14/01/2022;0;12;7574026;80 et plus;oui;oui;oui;140000-149999;300-320;35300
F;<High School;Private;Sports Car;Highly Urban/ Urban;dev_express;08/04/2022;5;4;1367480;70-79 ans;oui;non;non;10000-19999;240-260;81000
M;Masters;Private;Pickup;Highly Urban/ Urban;dev_integral;17/04/2022;0;15;8173103;70-79 ans;non;non;non;70000-79999;320-340;28700
M;Bachelors;Commercial;Minivan;z_Highly Rural/ Rural;dev_integral;14/05/2022;0;9;3275395;80 et plus;non;non;oui;110000-119999;320-340;49000
M;z_High School;Commercial;z_SUV;Highly Urban/ Urban;dev_integral;02/02/2022;6;1;2953624;60-69 ans;non;non;non;80000-89999;280-300;66000
M;Bachelors;Private;Sports Car;Highly Urban/ Urban;dev_integral;21/05/2022;0;8;1643470;70-79 ans;oui;oui;non;80000-89999;280-300;95610
M;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_premium;09/03/2022;2;12;6901151;30-39 ans;non;non;non;110000-119999;440-460;24100
F;Masters;Private;Minivan;z_Highly Rural/ Rural;dev_integral;27/02/2022;1;12;1360318;50-59 ans;oui;oui;non;150000-159999;320-340;70100
F;Masters;Private;Minivan;Highly Urban/ Urban;dev_integral;03/04/2022;0;14;6742011;70-79 ans;oui;non;non;40000-49999;300-320;44320
F;Bachelors;Private;Sports Car;z_Highly Rural/ Rural;dev_express;02/04/2022;1;8;4955150;50-59 ans;non;non;non;inconnu;240-260;66370
F;<High School;Private;Minivan;Highly Urban/ Urban;dev_express;08/04/2022;1;1;9402317;50-59 ans;oui;oui;non;inconnu;240-260;24100
F;Masters;Private;Sports Car;Highly Urban/ Urban;dev_integral;31/05/2022;0;17;6902998;80 et plus;oui;non;non;70000-79999;280-300;33000
F;z_High School;Commercial;Pickup;Highly Urban/ Urban;dev_integral;16/05/2022;0;4;7295000;18-29 ans;oui;non;oui;40000-49999;280-300;59290
F;Masters;Commercial;Panel Truck;Highly Urban/ Urban;dev_integral;22/04/2022;1;;2900371;50-59 ans;non;non;non;120000-129999;280-300;14400
F;z_High School;Commercial;z_SUV;Highly Urban/ Urban;dev_integral;30/05/2022;2;11;5533219;70-79 ans;non;non;non;20000-29999;320-340;92110
M;Bachelors;Private;Pickup;Highly Urban/ Urban;dev_express;01/02/2022;1;11;7025515;40-49 ans;oui;non;oui;70000-79999;240-260;25000
F;z_High School;Commercial;Minivan;Highly Urban/ Urban;dev_integral;31/05/2022;2;1;3014224;30-39 ans;non;non;non;0-9999;320-340;04370
M;Bachelors;Commercial;Minivan;z_Highly Rural/ Rural;dev_integral;16/02/2022;0;11;5083849;50-59 ans;non;non;non;80000-89999;320-340;34400
F;PhD;Private;Minivan;Highly Urban/ Urban;dev_integral;21/05/2022;0;20;5789965;50-59 ans;oui;non;oui;60000-69999;320-340;90100
M;z_High School;Private;z_SUV;Highly Urban/ Urban;dev_express;26/04/2022;2;1;6329960;50-59 ans;non;non;non;0-9999;260-280;42800
M;Masters;Commercial;Pickup;Highly Urban/ Urban;dev_integral;14/01/2022;6;;1122315;70-79 ans;non;non;non;110000-119999;280-300;11220
F;z_High School;Commercial;Van;Highly Urban/ Urban;dev_express;16/02/2022;0;12;7215967;60-69 ans;non;non;non;inconnu;240-260;62217
M;Masters;Private;Sports Car;Highly Urban/ Urban;dev_express;01/01/2022;0;16;4447275;30-39 ans;non;non;non;inconnu;260-280;14220
M;z_High School;Private;z_SUV;z_Highly Rural/ Rural;dev_integral;14/01/2022;0;1;6899481;60-69 ans;oui;non;non;10000-19999;280-300;26000
F;z_High School;Commercial;Van;Highly Urban/ Urban;dev_premium;10/05/2022;0;6;5957134;50-59 ans;oui;non;oui;40000-49999;520-540;07700
F;Bachelors;Commercial;Pickup;Highly Urban/ Urban;dev_express;02/05/2022;1;;5826559;80 et plus;non;non;non;60000-69999;280-300;13080
F;z_High School;Commercial;Van;z_Highly Rural/ Rural;dev_express;10/02/2022;1;6;5084596;18-29 ans;oui;oui;non;30000-39999;260-280;56340
